"page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","takeout_rate","creditcard_rate","rate","numberrate","reservation_rate","delivery_rate","yelp_rating"
15,"Wasabi at Porter","Sushi Bars","2088 Massachusetts Ave Cambridge, MA 02140",17,16,5,5,4,"Closed","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",1,1,0,1,0,1,1,3.78723404255319,47,0,1,4
15,"Falafel Corner","Middle Eastern","8 Eliot St Cambridge, MA 02138",42,56,42,25,32,"11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 3:00 am","11:00 am - 12:00 am",0,0,0,0,1,1,1,3.25888324873096,197,0,1,3.5
15,"JoseÍs Mexican Restaurant","Mexican","131 Sherman St Cambridge, MA 02140",76,152,80,60,41,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 12:00 am","29","",1,1,0,1,1,1,1,3.3960880195599,409,1,0,3.5
15,"Daedalus Restaurant & Pub","Pubs","45 1/2 Mt. Auburn St Cambridge, MA 02138",31,150,120,59,18,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am","10:00 am - 1:00 am",0,1,0,1,1,1,1,3.30952380952381,378,1,0,3.5
15,"Beantown Taqueria","Mexican","245 Massachusetts Ave Cambridge, MA 02139",45,48,20,18,33,"8:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 3:59 am","8:00 am - 3:59 am","8:00 am - 3:59 am","8:00 am - 11:00 pm",1,1,0,0,1,1,1,3.32926829268293,164,0,1,3.5
15,"Cilantro","Dim Sum","1105 Massachusetts Ave Cambridge, MA 02138",18,15,7,8,9,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 10:00 pm",0,1,0,0,0,1,1,3.43859649122807,57,1,1,3.5
16,"LeÍs Restaurant","Vietnamese","36 JFK St Cambridge, MA 02138",69,228,139,51,43,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 10:00 pm",0,0,0,1,0,1,1,3.43207547169811,530,1,1,3.5
16,"Boston Burger Company","Burgers","1105 Massachusetts Ave Cambridge, MA 02138",23,32,18,13,6,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 12:00 am","11:00 am - 12:00 am","12:00 pm - 10:00 pm",1,1,1,1,0,1,1,3.57608695652174,92,0,0,3.5
16,"Ampersand","Southern","513 Putnam Ave Cambridge, MA 02139",5,0,0,0,0,"null","null","null","null","null","null","null",0,0,0,0,0,0,0,5,5,1,0,5
16,"CurryThai Restaurant","Thai","569 Cambridge St Cambridge, MA 02141",29,34,16,10,15,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:30 pm","11:30 am - 10:30 pm","11:30 am - 10:00 pm",0,0,0,0,0,1,1,3.5,104,0,1,3.5
16,"Veggie Galaxy","Vegetarian","450 Massachusetts Ave Cambridge, MA 02139",261,209,94,63,26,"9:00 am - 10:00 pm","9:00 am - 10:00 pm","9:00 am - 10:00 pm","9:00 am - 10:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 10:00 pm",0,0,0,1,1,1,1,3.94333843797856,653,0,0,4
16,"Nubar","Bar","16 Garden St Cambridge, MA 02138",15,42,28,15,8,"6:30 am - 12:00 am","6:30 am - 12:00 am","6:30 am - 12:00 am","6:30 am - 12:00 am","6:30 am - 1:00 am","7:00 am - 1:00 am","7:00 am - 12:00 am",1,1,0,1,0,0,1,3.37962962962963,108,1,0,3.5
16,"Harvard Faculty Club","Venues & Event Spaces","20 Quincy St Cambridge, MA 02138",23,17,3,1,1,"7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","7:30 am - 9:00 pm","Closed","11:00 am - 1:00 pm",1,0,0,1,1,0,1,4.33333333333333,45,1,0,4.5
16,"Pho House","Vietnamese","1790 Massachusetts Ave Cambridge, MA 02140",18,28,12,13,12,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm",0,1,0,1,0,1,1,3.32530120481928,83,1,1,3.5
16,"Temple Bar","American (New)","1688 Massachusetts Ave Cambridge, MA 02138",84,207,84,33,20,"5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","10:00 am - 1:00 am","10:00 am - 1:00 am",1,1,0,1,1,1,1,3.70560747663551,428,1,0,3.5
16,"Pinocchios Pizza & Subs","Pizza","74 Winthrop St Cambridge, MA 02138",234,203,71,31,9,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 2:30 am","11:00 am - 2:30 am","1:00 pm - 12:00 am",0,0,0,0,0,1,1,4.13503649635036,548,0,0,4
17,"Andala Coffee House","Coffee & Tea","286 Franklin St Cambridge, MA 02139",125,150,67,38,28,"7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm",1,0,0,0,1,1,1,3.75,408,0,0,4
17,"ZinnekenÍs","Belgian","1154 Massachusetts Ave Cambridge, MA 02138",55,90,53,35,22,"8:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 12:00 am","8:00 am - 12:00 am","8:00 am - 9:00 pm",1,0,0,0,0,1,1,3.47450980392157,255,0,0,3.5
17,"Crema Cafe","Coffee & Tea","27 Brattle St Cambridge, MA 02138",252,438,136,49,37,"7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","7:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm",1,0,1,0,1,1,1,3.89802631578947,912,0,0,4
17,"Portugalia","Portuguese","723 Cambridge St Cambridge, MA 02141",13,24,15,3,3,"null","null","null","null","null","null","null",1,1,0,1,0,1,1,3.70689655172414,58,1,0,3.5
17,"Club Passim","Concert Hall","47 Palmer St Cambridge, MA 02138",44,31,8,4,3,"6:00 pm - 11:00 pm","6:00 pm - 11:00 pm","6:00 pm - 11:00 pm","6:00 pm - 11:00 pm","6:00 pm - 11:00 pm","10:00 am - 11:00 pm","10:00 am - 11:00 pm",0,0,0,1,0,0,1,4.21111111111111,90,0,0,4
17,"ArmandoÍs Pizza & Subs","Pizza","163 Huron Ave Cambridge, MA 02138",107,46,15,8,10,"9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","4:00 pm - 11:00 pm",0,0,0,0,0,1,0,4.24731182795699,186,0,0,4
17,"The Similans","Thai","145 1st St Cambridge, MA 02142",116,166,72,19,18,"11:00 am - 3:00 pm 4:00 pm - 10:00 pm","11:00 am - 3:00 pm 4:00 pm - 10:00 pm","11:00 am - 3:00 pm 4:00 pm - 10:00 pm","11:00 am - 3:00 pm 4:00 pm - 10:00 pm","11:00 am - 3:00 pm 4:00 pm - 10:00 pm","4:00 pm - 10:00 pm","4:00 pm - 9:30 pm",0,1,0,1,0,1,1,3.8772378516624,391,1,1,4
17,"Riverside Pizza & Seafoods","Pizza","305 River St Cambridge, MA 02139",12,14,9,4,2,"11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","Closed",0,1,0,1,0,1,1,3.73170731707317,41,0,1,3.5
17,"Tatte Bakery & Cafe","Bakeries","318 Third St Cambridge, MA 02142",117,115,41,27,15,"7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","8:00 am - 8:00 pm","9:00 am - 6:00 pm",1,0,0,0,1,1,1,3.92698412698413,315,0,1,4
17,"Harvest","French","44 Brattle St Cambridge, MA 02138",93,126,92,66,22,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",0,1,0,1,1,0,1,3.5062656641604,399,1,0,3.5
17,"Za","Pizza","350 3rd St Cambridge, MA 02142",35,65,47,36,7,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",1,1,0,1,1,1,1,3.44736842105263,190,1,0,3.5
18,"AbigailÍs Restaurant","American (New)","291 3rd St Cambridge, MA 02142",48,51,46,39,21,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","4:00 pm - 1:00 am","11:00 am - 12:00 am",1,1,0,1,1,1,1,3.32195121951219,205,1,0,3.5
18,"MoodyÍs Falafel Palace","Falafel","25 Central Sq Cambridge, MA 02139",107,187,67,49,52,"10:30 am - 11:30 pm","10:30 am - 11:30 pm","10:30 am - 11:30 pm","10:30 am - 3:00 am","2:00 pm - 3:00 am","10:30 am - 3:00 am","10:30 am - 11:30 pm",0,0,0,0,0,1,0,3.53679653679654,462,0,0,3.5
18,"wagamama","Japanese","57 JFK St Cambridge, MA 02138",31,124,146,97,57,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",1,0,0,1,0,1,1,2.94505494505495,455,1,0,3
18,"DarwinÍs","Cafe","313 Massachusetts Ave Cambridge, MA 02139",9,11,6,3,3,"7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","7:00 am - 8:00 pm","8:00 am - 8:00 pm","8:00 am - 8:00 pm",1,0,0,0,0,1,1,3.625,32,0,0,3.5
18,"Souper Roll Up Cafe","Sandwiches","726 Cambridge St Cambridge, MA 02141",40,16,2,0,0,"9:00 am - 5:00 pm","9:00 am - 5:00 pm","9:00 am - 5:00 pm","9:00 am - 5:00 pm","9:00 am - 5:00 pm","Closed","Closed",1,0,0,0,0,1,1,4.6551724137931,58,0,0,4.5
18,"HenriettaÍs Table","American (New)","1 Bennett St Cambridge, MA 02138",134,258,124,78,27,"6:30 am - 11:00 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","6:30 am - 11:00 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","6:30 am - 11:00 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","6:30 am - 11:00 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","6:30 am - 11:00 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","7:00 am - 11:00 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm","7:00 am - 10:30 am 12:00 pm - 3:00 pm 5:30 pm - 10:00 pm",0,0,0,1,1,1,1,3.63446054750403,621,1,0,3.5
18,"Bukowski Tavern","Pub","1281 Cambridge St Cambridge, MA 02139",57,141,135,93,56,"4:00 pm - 1:00 am","4:00 pm - 1:00 am","4:00 pm - 1:00 am","4:00 pm - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","12:00 pm - 1:00 am",0,1,1,1,0,1,0,3.10373443983402,482,0,0,3
18,"Patty ChenÍs Dumpling Room","Taiwanese","907 Main St Cambridge, MA 02139",35,38,22,36,24,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 10:00 pm",1,1,0,0,0,1,1,3.15483870967742,155,0,1,3
18,"Firebrand Saints","Bars","1 Broadway St Cambridge, MA 02142",25,77,31,27,10,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:00 am - 2:00 am","Closed",1,0,0,1,0,1,1,3.47058823529412,170,1,0,3.5
18,"Flat Patties","Traditional American","33 Brattle St Cambridge, MA 02138",73,164,87,47,24,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 12:00 am","11:00 am - 12:00 am","11:00 am - 10:00 pm",0,0,0,1,1,1,1,3.54430379746835,395,0,0,3.5
