"","page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","reservation_rate","delivery_rate","takeout_rate","creditcard_rate","rate","numberrate","normalrate"
"881",89,"CookinÕ Cafe & Grille","Diners","1096 Commonwealth Ave Boston, MA 02215",14,21,21,10,27,"7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm","7:00 am - 11:00 pm",0,1,0,0,0,0,1,1,1,2.83870967741935,93,-0.903068322580645
"882",89,"West End Johnnies","Traditional American","138 Portland St Boston, MA 02114",19,52,38,42,55,"Closed","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","11:00 am - 4:00 pm",0,1,1,1,0,1,0,1,1,2.69902912621359,206,-1.04274887378641
"883",89,"NunzioÕs Pizzeria","Pizza","195 State St Boston, MA 02109",10,17,6,1,5,"7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","12:00 pm - 10:00 pm","Closed",1,1,0,0,1,0,1,1,1,3.66666666666667,39,-0.0751113333333335
"884",89,"Haymarket International Food Co","Middle Eastern","88 Blackstone St Boston, MA 02109",6,7,0,0,2,"9:00 am - 8:00 pm","9:00 am - 8:00 pm","9:00 am - 8:00 pm","9:00 am - 8:00 pm","6:00 am - 8:00 pm","6:00 am - 8:00 pm","9:00 am - 8:00 pm",0,1,0,0,0,0,1,1,0,4,15,0.258222
"885",89,"Montecristo Mexican Grill","Mexican","748 Huntington Ave Boston, MA 02115",23,58,37,24,72,"9:00 am - 12:00 am","9:00 am - 12:00 am","9:00 am - 12:00 am","9:00 am - 12:00 am","9:00 am - 12:00 am","9:00 am - 12:00 am","9:00 am - 12:00 am",1,1,0,1,0,1,1,1,1,2.70093457943925,214,-1.04084342056075
"886",89,"Beacon Hill Hotel & Bistro","Hotels","25 Charles St Boston, MA 02114",54,97,48,34,32,"7:00 am - 10:00 am 11:30 am - 11:00 pm","7:00 am - 10:00 am 11:30 am - 11:00 pm","7:00 am - 10:00 am 11:30 am - 11:00 pm","7:00 am - 10:00 am 11:30 am - 11:00 pm","7:00 am - 10:00 am 11:30 am - 11:00 pm","7:30 am - 11:00 pm","7:30 am - 10:00 pm",0,0,0,1,0,1,0,0,1,3.40377358490566,265,-0.33800441509434
"887",89,"Boston News Cafe","Breakfast & Brunch","28 State St Boston, MA 02109",3,4,1,1,1,"7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 6:00 pm","7:00 am - 6:00 pm","Closed","Closed",1,1,0,0,1,0,0,1,1,3.7,10,-0.0417779999999999
"888",89,"SalÕs Pizza","Pizza","150 Tremont St Boston, MA 02111",16,30,14,4,6,"12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm","12:00 pm - 11:00 pm",0,1,0,0,0,0,1,1,1,3.65714285714286,70,-0.084635142857143
"889",89,"Moon Villa Restaurant","Chinese","19 Edinboro St Boston, MA 02111",6,12,14,2,10,"11:00 am - 4:00 am","11:00 am - 4:00 am","11:00 am - 4:00 am","11:00 am - 4:00 am","11:00 am - 4:00 am","11:00 am - 4:00 am","11:00 am - 4:00 am",0,0,0,1,0,1,0,1,1,3.04545454545455,44,-0.696323454545455
"890",89,"Crazy DoughÕs Pizza","Pizza","800 Boylston St Boston, MA 02199",3,2,1,0,0,"11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 8:00 pm","11:00 am - 6:00 pm",0,0,0,0,1,0,0,1,1,4.33333333333333,6,0.591555333333333
