"","page","name","category","address","X5star","X4star","X3star","X2star","X1star","monday","tuesday","wednesday","thursday","friday","saturday","sunday","wifi_rate","TV_rate","noise_rate","alcohol_rate","seating_rate","reservation_rate","delivery_rate","takeout_rate","creditcard_rate","rate","numberrate","normalrate"
"1",1,"Piperi Mediterranean Grill","Mediterranean","One Beacon St Boston, MA 02108",261,77,20,4,4,"11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 8:00 pm","12:00 pm - 4:00 pm","12:00 pm - 4:00 pm",0,1,0,0,1,0,0,1,1,4.60382513661202,366,0.862047136612022
"2",1,"O Ya","Japanese","9 East St Pl Boston, MA 02111",352,81,39,19,13,"Closed","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 9:30 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","Closed",0,0,0,1,0,1,0,0,1,4.46825396825397,504,0.726475968253968
"3",1,"Neptune Oyster","Seafood","63 Salem St Boston, MA 02113",1803,786,223,99,88,"11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 9:30 pm","11:30 am - 10:30 pm","11:30 am - 10:30 pm",0,0,0,1,0,0,0,0,1,4.3727909303101,2999,0.631012930310104
"4",1,"Wheelhouse","Breakfast & Brunch","63 Broad St Boston, MA 02109",100,44,14,2,0,"7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","7:00 am - 3:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,4.5125,160,0.770722
"5",1,"Island Creek Oyster Bar","Seafood","500 Commonwealth Ave Boston, MA 02215",953,518,165,70,46,"4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","4:00 pm - 11:00 pm","11:30 am - 11:30 pm","10:30 am - 11:30 pm",0,0,0,1,0,1,0,0,1,4.29109589041096,1752,0.549317890410959
"6",1,"Row 34","Modern American","383 Congress St Boston, MA 02210",282,150,45,21,15,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","10:30 am - 11:00 pm",1,0,0,1,1,1,0,1,1,4.29239766081871,513,0.550619660818714
"7",1,"Toro","Spanish","1704 Washington St Boston, MA 02118",723,523,157,63,34,"12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 12:00 am","12:00 pm - 1:00 am","4:30 pm - 1:00 am","10:30 am - 12:00 am",1,0,1,1,1,0,0,1,1,4.22533333333333,1500,0.483555333333333
"8",1,"GiacomoÕs Ristorante","Italian","355 Hanover St Boston, MA 02113",1188,620,212,107,71,"4:30 pm - 10:00 pm","4:30 pm - 10:00 pm","4:30 pm - 10:00 pm","4:30 pm - 10:00 pm","4:30 pm - 10:30 pm","4:30 pm - 10:30 pm","4:00 pm - 9:30 pm",0,0,1,1,0,0,0,1,0,4.24977252047316,2198,0.507994520473157
"9",1,"Mike & PattyÕs","Sandwiches","12 Church St Boston, MA 02116",495,278,62,21,35,"8:00 am - 2:00 pm","8:00 am - 2:00 pm","7:30 am - 2:00 pm","7:30 am - 2:00 pm","7:30 am - 2:00 pm","7:30 am - 2:30 pm","7:30 am - 2:30 pm",0,0,0,0,0,0,1,1,1,4.32098765432099,891,0.579209654320987
"10",1,"Barcelona Wine Bar South End","Spanish","525 Tremont St Boston, MA 02116",196,91,27,15,6,"4:00 pm - 12:30 am","4:00 pm - 12:30 am","4:00 pm - 12:30 am","4:00 pm - 12:30 am","4:00 pm - 2:00 am","11:00 am - 2:00 am","11:00 am - 12:30 am",0,1,0,1,0,1,0,1,1,4.36119402985075,335,0.619416029850746
"11",2,"Galleria Umberto","Pizza","289 Hanover St Boston, MA 02113",237,120,34,16,9,"11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","Closed",0,0,0,1,0,0,0,1,0,4.34615384615385,416,0.604375846153846
"12",2,"The Salty Pig","American (New)","130 Dartmouth St Boston, MA 02116",308,384,124,47,20,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 12:00 am",0,0,0,1,1,1,0,1,1,4.03397508493771,883,0.292197084937713
"13",2,"Atlantic Fish Company","Seafood","761 Boylston St Boston, MA 02116",749,607,197,82,42,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 11:00 pm",0,1,0,1,1,1,0,1,1,4.15623136553369,1677,0.414453365533691
"14",2,"Stir","Modern American","102 Waltham St Boston, MA 02118",27,2,3,1,0,"12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","12:00 pm - 6:00 pm","Closed",0,0,0,1,0,1,0,0,1,4.66666666666667,33,0.924888666666667
"15",2,"Avana Sushi","Japanese","42 Beach St Boston, MA 02111",354,228,69,22,16,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm",0,0,0,0,0,1,1,1,1,4.28011611030479,689,0.53833811030479
"16",2,"LukeÕs Lobster","Seafood","75 Exeter Street Boston, MA 02116",122,76,27,9,1,"11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 9:00 pm",0,0,0,0,0,0,1,1,1,4.31489361702128,235,0.573115617021276
"17",2,"James Hook & Co","Seafood","440 Atlantic Ave Boston, MA 02110",303,211,54,30,14,"10:00 am - 5:00 pm","10:00 am - 5:00 pm","10:00 am - 5:00 pm","10:00 am - 5:00 pm","10:00 am - 6:00 pm","10:00 am - 5:00 pm","10:00 am - 3:00 pm",0,0,0,0,1,0,0,1,1,4.24019607843137,612,0.498418078431373
"18",2,"Grass Roots Cafe","Sandwiches","101 Arch St Boston, MA 02110",63,24,3,2,1,"6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","Closed","Closed",0,0,0,0,0,0,0,1,1,4.56989247311828,93,0.82811447311828
"19",2,"PauliÕs","Sandwiches","65 Salem St Boston, MA 02113",235,127,38,13,8,"8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","8:00 am - 9:00 pm","9:00 am - 5:00 pm",1,1,0,0,0,0,1,1,1,4.34916864608076,421,0.60739064608076
"20",2,"Casa Razdora","Italian","115 Water St Boston, MA 02109",173,52,6,11,4,"11:00 am - 4:00 pm","11:00 am - 4:00 pm","11:00 am - 4:00 pm","11:00 am - 5:00 pm","11:00 am - 5:00 pm","Closed","Closed",0,0,0,0,0,0,1,1,1,4.54065040650407,246,0.798872406504065
"21",3,"El Pel—n Taquer’a","Mexican","92 Peterborough St Boston, MA 02215",404,272,79,31,22,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm",1,0,0,0,1,0,1,1,1,4.24381188118812,808,0.502033881188119
"22",3,"Orinoco","Caribbean","477 Shawmut Ave Boston, MA 02118",201,176,48,14,16,"Closed","12:00 pm - 2:30 pm 6:00 pm - 10:00 pm","12:00 pm - 2:30 pm 6:00 pm - 10:00 pm","12:00 pm - 2:30 pm 6:00 pm - 11:00 pm","12:00 pm - 2:30 pm 6:00 pm - 11:00 pm","12:00 pm - 2:30 pm 6:00 pm - 11:00 pm","11:00 am - 3:00 pm",0,0,0,1,1,0,0,1,1,4.16923076923077,455,0.427452769230769
"23",3,"Locale","Italian","352 Hanover St Boston, MA 02113",109,48,10,2,11,"4:00 pm - 9:30 pm","4:00 pm - 9:30 pm","4:00 pm - 9:30 pm","4:00 pm - 9:30 pm","4:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 9:00 pm",0,0,0,1,0,0,0,1,1,4.34444444444444,180,0.602666444444444
"24",3,"Blunch","Breakfast & Brunch","59 E Springfield St Boston, MA 02118",169,105,18,8,3,"8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","8:00 am - 3:00 pm","9:00 am - 3:00 pm","Closed",0,0,0,0,0,0,1,1,1,4.41584158415842,303,0.674063584158416
"25",3,"Pho Basil","Vietnamese","177 Massachusetts Ave Ste A Boston, MA 02115",254,294,70,29,19,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:30 pm","11:30 am - 10:30 pm","11:30 am - 10:00 pm",0,0,0,1,0,1,1,1,1,4.1036036036036,666,0.361825603603603
"26",3,"YvonneÕs","Modern American","2 Winter Pl Boston, MA 02108",129,48,19,12,15,"4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am","4:00 pm - 2:00 am",1,0,1,1,0,1,0,0,1,4.18385650224215,223,0.442078502242152
"27",3,"Saus","Sandwiches","33 Union St Boston, MA 02108",351,299,106,36,15,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 12:00 am","11:30 am - 2:00 am","12:00 pm - 2:00 am","12:00 pm - 8:00 pm",1,1,0,1,0,0,0,1,1,4.15861214374226,807,0.416834143742255
"28",3,"Cafe Polonia","Polish","611 Dorchester Ave Boston, MA 02127",183,82,34,11,8,"11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 10:00 pm","10:00 am - 10:00 pm","10:00 am - 9:00 pm",0,0,0,1,0,1,0,1,1,4.32389937106918,318,0.582121371069182
"29",3,"Cafe Madeleine","Bakery","517 Columbus Ave Boston, MA 02118",68,23,7,2,3,"6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm","6:30 am - 7:00 pm",0,0,0,0,0,0,0,1,1,4.46601941747573,103,0.724241417475728
"30",3,"Picco","Ice Cream & Frozen Yogurt","513 Tremont St Boston, MA 02116",397,335,84,32,20,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 10:00 pm",0,0,0,1,1,1,1,1,1,4.21774193548387,868,0.475963935483871
"31",4,"Asta","American (New)","47 Massachusetts Ave Boston, MA 02115",88,14,5,8,7,"Closed","6:00 pm - 10:30 pm","6:00 pm - 10:30 pm","6:00 pm - 10:30 pm","6:00 pm - 10:30 pm","6:00 pm - 10:30 pm","Closed",0,0,0,1,0,1,0,0,1,4.37704918032787,122,0.635271180327869
"32",4,"The Daily Catch","Italian","323 Hanover St Boston, MA 02113",431,314,112,56,56,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm",0,0,0,1,0,0,0,1,0,4.04024767801858,969,0.298469678018575
"33",4,"MonicaÕs Mercato","Specialty Food","130 Salem St Boston, MA 02113",140,36,6,8,9,"9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm","9:00 am - 11:00 pm",0,0,0,1,0,0,0,1,1,4.4572864321608,199,0.715508432160804
"34",4,"Bostonia Public House","American (New)","131 State St Boston, MA 02109",182,141,44,19,19,"11:30 am - 12:00 am","11:30 am - 12:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","10:00 am - 2:00 am","10:00 am - 12:00 am",0,1,0,1,1,1,0,1,1,4.10617283950617,405,0.364394839506173
"35",4,"Eastern Standard Kitchen and Drinks","Modern American","528 Commonwealth Ave Boston, MA 02215",545,524,202,92,35,"7:00 am - 2:00 am","7:00 am - 2:00 am","7:00 am - 2:00 am","7:00 am - 2:00 am","7:00 am - 2:00 am","7:00 am - 2:00 am","7:00 am - 2:00 am",0,0,0,1,1,1,0,1,1,4.03862660944206,1398,0.29684860944206
"36",4,"Sam LaGrassaÕs","Sandwiches","44 Province St Boston, MA 02108",369,208,45,24,6,"11:00 am - 3:30 pm","11:00 am - 3:30 pm","11:00 am - 3:30 pm","11:00 am - 3:30 pm","11:00 am - 3:30 pm","Closed","Closed",0,0,0,0,0,0,1,1,1,4.39570552147239,652,0.653927521472393
"37",4,"Shojo","Asian Fusion","9A Tyler St Boston, MA 02111",172,133,62,25,6,"5:30 pm - 11:00 pm","5:30 pm - 11:00 pm","5:30 pm - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 2:00 am","11:00 am - 2:00 am","Closed",0,1,0,1,0,1,0,0,1,4.10552763819095,398,0.363749638190955
"38",4,"Zo","Greek","3 Center Plz Boston, MA 02108",165,89,22,10,4,"11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","11:00 am - 3:00 pm","Closed","Closed",0,0,0,0,1,0,0,1,1,4.38275862068966,290,0.640980620689655
"39",4,"Coppa","Italian","253 Shawmut Ave Boston, MA 02118",231,185,73,48,17,"12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 11:00 pm","5:00 pm - 11:00 pm","11:00 am - 10:00 pm",0,0,0,1,1,1,0,1,1,4.01985559566787,554,0.27807759566787
"40",4,"Gaslight","Breakfast & Brunch","560 Harrison Ave Boston, MA 02118",447,621,241,93,40,"5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 12:00 am","5:00 pm - 12:00 am","9:00 am - 12:00 am","9:00 am - 11:00 pm",0,0,0,1,1,1,0,1,1,3.93065187239945,1442,0.188873872399445
"41",5,"Marliave","French","10 Bosworth St Boston, MA 02108",304,413,128,55,37,"11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am","11:00 am - 1:00 am",0,1,0,1,1,1,0,0,1,3.95197438633938,937,0.210196386339381
"42",5,"KO Pies At the Shipyard","Australian","256 Marginal St Bldg 16 Boston, MA 02128",81,46,8,7,2,"Closed","Closed","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm",0,1,0,1,1,0,0,1,1,4.36805555555556,144,0.626277555555555
"43",5,"Franklin Caf_","Lounges","278 Shawmut Ave Boston, MA 02118",160,187,63,28,11,"5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am",0,0,0,1,0,0,0,0,1,4.01781737193764,449,0.276039371937639
"44",5,"CarmelinaÕs","Italian","307 Hanover St Boston, MA 02113",183,89,48,23,14,"12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm","12:00 pm - 10:00 pm",0,0,0,1,1,1,0,1,1,4.13165266106443,357,0.389874661064426
"45",5,"Mulligans","Sandwiches","83 Canal St Boston, MA 02114",51,19,6,2,2,"6:30 am - 3:30 pm","6:30 am - 3:30 pm","6:30 am - 3:30 pm","6:30 am - 3:30 pm","6:30 am - 3:30 pm","Closed","Closed",0,0,1,0,0,0,0,1,1,4.4375,80,0.695722
"46",5,"Amsterdam Falafelshop","Falafel","642 Beacon St Boston, MA 02215",41,20,7,1,0,"11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm","11:00 am - 10:30 pm",0,1,0,0,0,0,1,1,1,4.46376811594203,69,0.721990115942029
"47",5,"Corner Tavern","Bars","421 Marlborough St Boston, MA 02115",78,84,19,6,5,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:00 am - 2:00 am",1,1,0,1,0,0,0,1,1,4.16666666666667,192,0.424888666666667
"48",5,"GiacomoÕs","Italian","431 Columbus Ave Boston, MA 02116",319,264,105,52,69,"5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","5:00 pm - 9:30 pm",0,0,1,1,0,1,0,1,0,3.88009888751545,809,0.138320887515451
"49",5,"TheoÕs Cozy Corner","Italian","162 Salem St Boston, MA 02113",108,80,24,10,2,"6:00 am - 3:00 pm","6:00 am - 8:30 pm","6:00 am - 8:30 pm","6:00 am - 8:30 pm","6:00 am - 8:30 pm","6:00 am - 3:00 pm","6:00 am - 2:30 pm",0,1,0,0,0,0,0,1,0,4.25892857142857,224,0.517150571428571
"50",5,"Jm Curley","American (New)","21 Temple Pl Boston, MA 02111",201,174,54,34,30,"11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 1:30 am","11:30 am - 12:00 am",0,1,1,1,0,0,0,0,1,3.97768762677485,493,0.235909626774848
"51",6,"Italian Express Pizzeria","Italian","336 Sumner St Boston, MA 02128",135,54,13,15,6,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","Closed",0,0,0,1,1,1,1,1,0,4.33183856502242,223,0.590060565022421
"52",6,"Moonshine 152","American (New)","152 Dorchester Ave Boston, MA 02127",49,29,16,5,2,"5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","11:00 am - 2:00 am","11:00 am - 2:00 am",1,1,0,1,1,1,0,1,1,4.16831683168317,101,0.426538831683168
"53",6,"SRV Boston","Italian","569 columbus ave Boston, MA 02118",29,19,4,1,0,"5:00 pm - 12:00 am","5:00 pm - 12:00 am","5:00 pm - 12:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 1:00 am","5:00 pm - 12:00 am",0,0,0,1,1,1,0,0,1,4.43396226415094,53,0.692184264150943
"54",6,"PeteÕs Dockside","American (Traditional)","12 Channel St Boston, MA 02210",26,8,3,1,1,"6:00 am - 3:00 pm","6:00 am - 3:00 pm","6:00 am - 3:00 pm","6:00 am - 3:00 pm","6:00 am - 3:00 pm","Closed","Closed",1,0,0,0,1,0,0,1,1,4.46153846153846,39,0.719760461538462
"55",6,"Banh Mi House","Bubble Tea","48 Winter St Boston, MA 02108",58,25,8,4,1,"11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","11:00 am - 6:00 pm","Closed","Closed",0,0,0,0,0,0,1,0,1,4.40625,96,0.664472
"56",6,"New Dong Khanh","Vietnamese","83 Harrison Ave Boston, MA 02111",126,164,55,18,10,"9:00 am - 10:30 pm","9:00 am - 10:30 pm","9:00 am - 10:30 pm","9:00 am - 10:30 pm","9:00 am - 10:30 pm","9:00 am - 10:30 pm","9:00 am - 10:30 pm",0,1,0,0,0,0,0,1,0,4.01340482573727,373,0.271626825737266
"57",6,"Coda","American (New)","329 Columbus Ave Boston, MA 02116",115,229,84,27,8,"11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 1:00 am","10:30 am - 1:00 am","10:30 am - 1:00 am",1,1,0,1,0,0,0,1,1,3.89848812095032,463,0.156710120950324
"58",6,"Lolita Cocina & Tequila Bar","Mexican","271 Dartmouth St Boston, MA 02116",368,375,149,76,49,"5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am","5:00 pm - 2:00 am",0,1,1,1,0,1,0,0,1,3.92133726647001,1017,0.17955926647001
"59",6,"Figs","Pizza","42 Charles St Boston, MA 02114",190,241,71,32,39,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","12:00 pm - 10:00 pm",0,0,0,1,0,1,0,1,1,3.89179755671902,573,0.150019556719023
"60",6,"The Gallows","American (New)","1395 Washington St Boston, MA 02118",197,221,104,49,18,"5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:00 am - 10:00 pm",1,1,0,1,0,1,0,1,1,3.89983022071307,589,0.158052220713073
"61",7,"Piattini","Italian","226 Newbury St Boston, MA 02116",165,181,68,36,32,"11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:30 pm","11:00 am - 11:30 pm","11:00 am - 11:00 pm",0,0,0,1,1,1,0,1,1,3.85269709543568,482,0.110919095435685
"62",7,"Pomodoro","Pizza","351 Hanover St Boston, MA 02113",62,5,5,3,5,"null","null","null","null","null","null","null",0,0,0,1,0,1,0,1,0,4.45,80,0.708222
"63",7,"Internal Matter","Wine Bars","35 Channel Center St Ste 100 Boston, MA 02210",23,1,1,1,0,"7:30 am - 2:00 pm","7:30 am - 10:00 pm","7:30 am - 10:00 pm","7:30 am - 10:00 pm","7:30 am - 10:00 pm","Closed","Closed",1,0,0,1,0,0,0,1,1,4.76923076923077,26,1.02745276923077
"64",7,"The Parish Cafe","Sandwiches","361 Boylston St Boston, MA 02116",284,468,191,81,33,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","12:00 pm - 2:00 am",0,1,0,1,1,0,0,1,1,3.84105960264901,1057,0.0992816026490067
"65",7,"The Paramount","Breakfast & Brunch","44 Charles St Boston, MA 02114",277,420,193,73,31,"7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 10:00 pm","7:00 am - 11:00 pm","8:00 am - 11:00 pm","8:00 am - 10:00 pm",0,0,0,1,0,0,0,1,1,3.84406438631791,994,0.102286386317907
"66",7,"Silvertone","American (Traditional)","69 Bromfield St Boston, MA 02108",193,318,128,43,20,"11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","11:30 am - 2:00 am","6:00 pm - 2:00 am","Closed",0,1,1,1,0,0,0,0,1,3.88461538461538,702,0.142837384615385
"67",7,"North End Fish Market","Sushi Bars","99 Salem St Boston, MA 02113",104,51,7,2,4,"10:00 am - 8:00 pm","10:00 am - 8:00 pm","10:00 am - 8:00 pm","10:00 am - 8:00 pm","10:00 am - 8:00 pm","10:00 am - 6:00 pm","12:00 pm - 5:00 pm",0,0,0,0,0,0,0,1,1,4.48214285714286,168,0.740364857142857
"68",7,"FigaroÕs","Delis","105 beach St Boston, MA 02111",51,21,9,9,2,"8:30 am - 3:00 pm","8:30 am - 3:00 pm","8:30 am - 3:00 pm","8:30 am - 3:00 pm","8:30 am - 3:00 pm","Closed","Closed",0,0,1,0,0,0,0,1,1,4.19565217391304,92,0.453874173913044
"69",7,"Hillstone Restaurant","American (New)","60 State St Boston, MA 02109",165,200,69,26,14,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","12:00 pm - 11:00 pm","4:00 pm - 10:00 pm",0,1,0,1,1,1,0,1,1,4.0042194092827,474,0.2624414092827
"70",7,"Myers & Chang","Asian Fusion","1145 Washington St Boston, MA 02118",364,341,185,122,42,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",1,0,0,1,1,1,0,1,1,3.81878557874763,1054,0.0770075787476281
"71",8,"Yankee Lobster Co","Seafood Market","300 Northern Ave Boston, MA 02210",280,339,130,46,23,"10:00 am - 9:00 pm","10:00 am - 9:00 pm","10:00 am - 9:00 pm","10:00 am - 9:00 pm","10:00 am - 9:00 pm","10:00 am - 9:00 pm","11:00 am - 6:00 pm",1,0,0,1,1,0,1,1,1,3.98655256723716,818,0.244774567237164
"72",8,"Boston Burger Company","Burgers","1100 Boylston St Boston, MA 02215",132,145,66,30,14,"11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","11:00 am - 11:00 pm","12:00 pm - 8:00 pm",1,1,0,1,1,0,0,1,1,3.90697674418605,387,0.165198744186046
"73",8,"Mei Mei Street Kitchen","Food Trucks","506 Park Dr Boston, MA 02215",84,50,14,7,6,"11:30 am - 2:30 pm","11:00 am - 9:00 pm","11:00 am - 9:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 10:00 pm","11:00 am - 9:00 pm",0,0,0,1,0,1,1,1,1,4.2360248447205,161,0.494246844720497
"74",8,"Cinquecento","Italian","500 Harrison Ave Boston, MA 02118",112,122,50,30,11,"5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 10:00 pm","5:00 pm - 11:00 pm","5:00 pm - 11:00 pm","10:00 am - 3:00 pm 5:00 pm - 11:00 pm","10:00 am - 3:00 pm 5:00 pm - 10:00 pm",1,0,0,1,1,1,0,0,1,3.90461538461538,325,0.162837384615385
"75",8,"Q Restaurant","Chinese","660 Washington St Boston, MA 02111",166,224,77,26,31,"11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 1:00 am","11:30 am - 1:00 am","11:30 am - 11:00 pm",1,1,0,1,0,0,0,1,1,3.89312977099237,524,0.151351770992366
"76",8,"Metropolis Cafe","Wine Bars","584 Tremont St Boston, MA 02118",94,187,59,22,9,"5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 10:00 pm","5:30 pm - 11:00 pm","5:30 pm - 11:00 pm","9:00 am - 3:00 pm 5:30 pm - 11:00 pm","9:00 am - 3:00 pm 5:30 pm - 10:00 pm",0,0,0,1,0,1,0,1,0,3.90296495956873,371,0.161186959568733
"77",8,"Al Dente Restaurant","Italian","109 Salem St Boston, MA 02113",250,239,72,43,35,"11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 10:00 pm","11:30 am - 11:00 pm","11:30 am - 11:00 pm","11:30 am - 10:00 pm",0,1,0,1,0,1,0,1,1,3.97965571205008,639,0.237877712050078
